source_path,stem,last,penult,ean,match_score
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 1.webp,Anthrazite Grey 1,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 2.webp,Anthrazite Grey 2,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 3.webp,Anthrazite Grey 3,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 4.webp,Anthrazite Grey 4,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 5.webp,Anthrazite Grey 5,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Carbon Black 1.webp,Secura Shorts - Carbon Black 1,Innerwear,Kids,8903289123151,0.3
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Carbon Black 2.webp,Secura Shorts - Carbon Black 2,Innerwear,Kids,8903289123151,0.3
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Carbon Black 3.webp,Secura Shorts - Carbon Black 3,Innerwear,Kids,8903289123151,0.3
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Carbon Black 4.webp,Secura Shorts - Carbon Black 4,Innerwear,Kids,8903289123151,0.3
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura Shorts - Carbon Black 5.webp,Secura Shorts - Carbon Black 5,Innerwear,Kids,8903289123151,0.3
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 1.webp,Secura shorts - Cherry Berry 1,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 2.webp,Secura shorts - Cherry Berry 2,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 3.webp,Secura shorts - Cherry Berry 3,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 4.webp,Secura shorts - Cherry Berry 4,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 5.webp,Secura shorts - Cherry Berry 5,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Dark Chocolate 1.webp,Secura shorts - Dark Chocolate 1,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Dark Chocolate 2.webp,Secura shorts - Dark Chocolate 2,Innerwear,Kids,,0.0
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Dark Chocolate 3.webp,Secura shorts - Dark Chocolate 3,Innerwear,Kids,,0.0
