source_path,ext,size,mtime,stem,last,penult,name_key,name_key_norm,direct_ean,tokens_a,tokens_b,tokens_c,ean,match_score,ean_valid
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 1.webp,.webp,44964,1762688222.8905988,Anthrazite Grey 1,Innerwear,Kids,Kids Innerwear Anthrazite Grey,kids innerwear anthrazite grey,,"['anthrazite', 'grey', '1']","['innerwear', 'anthrazite', 'grey', '1']","['kids', 'innerwear', 'anthrazite', 'grey', '1']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 2.webp,.webp,29838,1762688222.928522,Anthrazite Grey 2,Innerwear,Kids,Kids Innerwear Anthrazite Grey,kids innerwear anthrazite grey,,"['anthrazite', 'grey', '2']","['innerwear', 'anthrazite', 'grey', '2']","['kids', 'innerwear', 'anthrazite', 'grey', '2']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 3.webp,.webp,31200,1762688222.939756,Anthrazite Grey 3,Innerwear,Kids,Kids Innerwear Anthrazite Grey,kids innerwear anthrazite grey,,"['anthrazite', 'grey', '3']","['innerwear', 'anthrazite', 'grey', '3']","['kids', 'innerwear', 'anthrazite', 'grey', '3']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 4.webp,.webp,89122,1762688222.9577959,Anthrazite Grey 4,Innerwear,Kids,Kids Innerwear Anthrazite Grey,kids innerwear anthrazite grey,,"['anthrazite', 'grey', '4']","['innerwear', 'anthrazite', 'grey', '4']","['kids', 'innerwear', 'anthrazite', 'grey', '4']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Anthrazite Grey 5.webp,.webp,21722,1762688222.9717076,Anthrazite Grey 5,Innerwear,Kids,Kids Innerwear Anthrazite Grey,kids innerwear anthrazite grey,,"['anthrazite', 'grey', '5']","['innerwear', 'anthrazite', 'grey', '5']","['kids', 'innerwear', 'anthrazite', 'grey', '5']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 1.webp,.webp,44724,1762688223.0455785,Secura shorts - Cherry Berry 1,Innerwear,Kids,Kids Innerwear Secura shorts - Cherry Berry,kids innerwear secura shorts cherry berry,,"['secura', 'shorts', 'cherry', 'berry', '1']","['innerwear', 'secura', 'shorts', 'cherry', 'berry', '1']","['kids', 'innerwear', 'secura', 'shorts', 'cherry', 'berry', '1']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 2.webp,.webp,33458,1762688223.0568483,Secura shorts - Cherry Berry 2,Innerwear,Kids,Kids Innerwear Secura shorts - Cherry Berry,kids innerwear secura shorts cherry berry,,"['secura', 'shorts', 'cherry', 'berry', '2']","['innerwear', 'secura', 'shorts', 'cherry', 'berry', '2']","['kids', 'innerwear', 'secura', 'shorts', 'cherry', 'berry', '2']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 3.webp,.webp,19024,1762688223.071816,Secura shorts - Cherry Berry 3,Innerwear,Kids,Kids Innerwear Secura shorts - Cherry Berry,kids innerwear secura shorts cherry berry,,"['secura', 'shorts', 'cherry', 'berry', '3']","['innerwear', 'secura', 'shorts', 'cherry', 'berry', '3']","['kids', 'innerwear', 'secura', 'shorts', 'cherry', 'berry', '3']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 4.webp,.webp,19060,1762688223.0826213,Secura shorts - Cherry Berry 4,Innerwear,Kids,Kids Innerwear Secura shorts - Cherry Berry,kids innerwear secura shorts cherry berry,,"['secura', 'shorts', 'cherry', 'berry', '4']","['innerwear', 'secura', 'shorts', 'cherry', 'berry', '4']","['kids', 'innerwear', 'secura', 'shorts', 'cherry', 'berry', '4']",,0.0,False
C:\Users\ganesh\Downloads\Twin Birds\Twin Birds\Kids\Innerwear\Secura shorts - Cherry Berry 5.webp,.webp,47592,1762688223.100258,Secura shorts - Cherry Berry 5,Innerwear,Kids,Kids Innerwear Secura shorts - Cherry Berry,kids innerwear secura shorts cherry berry,,"['secura', 'shorts', 'cherry', 'berry', '5']","['innerwear', 'secura', 'shorts', 'cherry', 'berry', '5']","['kids', 'innerwear', 'secura', 'shorts', 'cherry', 'berry', '5']",,0.0,False
